原码       频率       哈夫曼编码                                                                                           长度  十进制    
128        80         001001001                                                                                            9     73        
129        0          10100110011010001111111111111111111111111111110                                                      47    91484950888446
130        0          101001100110100011111111111111111111111111111110                                                     48    182969901776894
131        0          1010011001101000111110                                                                               22    2726462   
132        0          10100110011010001110                                                                                 20    681614    
133        0          101001100110100011110                                                                                21    1363230   
134        0          10100110011010001111111111111111111111111010                                                         44    11435618861050
135        0          10100110011010001111111110                                                                           26    43623422  
136        0          101001100110100011111110                                                                             24    10905854  
137        2          101001100111011                                                                                      15    21307     
138        0          1010011001101000111111110                                                                            25    21811710  
139        6          1010011001100                                                                                        13    5324      
140        0          10100110011010001111111111110                                                                        29    348987390 
141        0          1010011001101000111111111110                                                                         28    174493694 
142        0          1010011001101000111111111111111111111111111111111101                                                 52    2927518428430333
143        0          10100110011010001111111111111110                                                                     32    2791899134
144        1          1010011001110101                                                                                     16    42613     
145        0          101001100110100011111111111111110                                                                    33    5583798270
146        0          10100110011010001111111111111111111111111111111111001                                                53    5855036856860665
147        64         1011010110                                                                                           10    726       
148        10         101001100010                                                                                         12    2658      
149        0          1010011001101000111111111111111111110                                                                37    89340772350
150        0          101001100110100011111111111111111110                                                                 36    44670386174
151        0          101001100110100011111111111111111111110                                                              39    357363089406
152        0          101001100110100011111111111111111100                                                                 36    44670386172
153        0          1010011001101000111111111111111111111110                                                             40    714726178814
154        0          1010011001101000111111111111111111111111111111111100010                                              55    23420147427442658
155        0          101001100110100011111111111111111111111111101                                                        45    22871237722109
156        0          101001100110100011111111111111111111111111110                                                        45    22871237722110
157        0          1010011001101000111111111111111111111111100                                                          43    5717809430524
158        0          10100110011010001111111111111111111111111111111111000110                                             56    46840294854885318
159        0          101001100110100011111111111111111111111111111111010                                                  51    1463759214215162
160        0          101001100110100011111111111111111111111111111111111                                                  51    1463759214215167
161        0          101001100110100011111111111111111111111110110                                                        45    22871237722102
162        0          101001100110100011111111111111111111111111111111110001110                                            57    93680589709770638
163        0          101001100110100011111111111111111111111111111111011                                                  51    1463759214215163
164        0          101001100110100011111111111111111111111111111111101                                                  51    1463759214215165
165        0          101001100110100011111111111111111111111111111111100                                                  51    1463759214215164
166        0          1010011001101000111111111111111111111111111111111100011110                                           58    187361179419541278
167        0          10100110011010001111111111111111111111111011101                                                      47    91484950888413
168        0          1010011001101000111111111100                                                                         28    174493692 
169        1          1010011001110100                                                                                     16    42612     
170        0          10100110011010001111111111111111111111111011110                                                      47    91484950888414
171        6          1010011000110                                                                                        13    5318      
172        0          10100110011010001111111111011                                                                        29    348987387 
173        0          10100110011010001111111111010                                                                        29    348987386 
174        1          1010011001110011                                                                                     16    42611     
175        0          1010011001101000111111111111111111011                                                                37    89340772347
176        0          1010011001101000111111111111111111111111101110000                                                    49    365939803553648
177        0          1010011001101000111111111111111111111111111111111100000                                              55    23420147427442656
178        0          10100110011010001111111111111111111111111111111111000111110100                                       62    2997778870712660468
179        0          10100110011010001111111111111111110101                                                               38    178681544693
180        0          10100110011010001111111111111111111111111011100010                                                   50    731879607107298
181        0          10100110011010001111111111111111111111111111111111000010                                             56    46840294854885314
182        0          101001100110100011111111111111111111111111111111110001111101010                                      63    5995557741425320938
183        0          101001100110100011111111111111111111111110111000110                                                  51    1463759214214598
184        0          101001100110100011111111111111111111111111111111110000111111111                                      63    5995557741425320447
185        0          101001100110100011111111111111111111111111111111110000110                                            57    93680589709770630
186        0          1010011001101000111111111111111111111111111111111100011111010110                                     64    11991115482850641878
187        0          1010011001101000111111111111111111111111101110001110                                                 52    2927518428429198
188        0          1010011001101000111111111111111111111111111111111100011111001000                                     64    11991115482850641864
189        0          1010011001101000111111111111111111111111111111111100001110                                           58    187361179419541262
190        0          10100110011010001111111111111111111111111111111111000111110010011                                    65    5535486891991732115
191        0          101001100110100011111111111111111111111111111111110000111110                                         60    749444717678165054
192        0          10100110011010001111111111111111111111111111111111000011111111010                                    65    5535486891991730170
193        0          101001100110100011111111111111111111111111111111110001111100111100                                   66    11070973783983464252
194        1          1010011001110010                                                                                     16    42610     
195        9          1010011001111                                                                                        13    5327      
196        0          1010011001101000111111111111111111111111111111111100001111011                                        61    1498889435356330107
197        0          1010011001101000111111111111111111111111111111111100001111110                                        61    1498889435356330110
198        0          1010011001101000111111111111111111111111111111111100011111001001010                                  67    3695203494257376842
199        0          101001100110100011111111111111111111111111111111110001111100101                                      63    5995557741425320933
200        0          10100110011010001111111111111111111111111111111111000011111110                                       62    2997778870712660222
201        0          101001100110100011111111111111111111111111111111110001111100110                                      63    5995557741425320934
202        0          10100110011010001111111111111111111111111111111111000111110010010011                                 68    7390406988514753683
203        1          1010011001101001                                                                                     16    42601     
204        0          10100110011010001111111111111111111111111111111111000111110101111                                    65    5535486891991732143
205        0          1010011001101000111111111111111111111111111111111100001111111100                                     64    11991115482850640892
206        0          101001100110100011111111111111111111111111111111110001111100100101100                                69    14780813977029507372
207        0          1010011001101000111111111111111111111111111111111100011111001111011                                  67    3695203494257376891
208        0          101001100110100011111111111111111111111111111111110000111111110111                                   66    11070973783983460343
209        0          101001100110100011111111111111111111111111111111110000111111110110                                   66    11070973783983460342
210        0          101001100110100011111111111111111111111111111111110001111100111011                                   66    11070973783983464251
211        0          10100110011010001111111111111111111111111111111111000111110011110101                                 68    7390406988514753781
212        0          1010011001101000111111111111111111111111111111111100011111001001000                                  67    3695203494257376840
213        0          10100110011010001111111111111111111111111111111111000111110000                                       62    2997778870712660464
214        0          10100110011010001111111111111111111111111111111111000111110010010010100                              71    3783023686989374612
