原码       频率       哈夫曼编码                                                                                           长度  十进制    
40         4          01010110000101                                                                                       14    5509      
41         4          10100101100101                                                                                       14    10597     
42         0          111011110110101011111001100                                                                          27    125523916 
43         0          111011110110101011111000010                                                                          27    125523906 
44         341        11011110                                                                                             8     222       
45         45         11101111010                                                                                          11    1914      
46         127        010101101                                                                                            9     173       
47         0          1110111101101010111110010000                                                                         28    251047824 
48         0          1110111101101010111110001010                                                                         28    251047818 
49         0          111011110110101011111001001011                                                                       30    1004191307
50         0          1110111101101010111110000011101                                                                      31    2008382493
51         0          11101111011010101111100111001                                                                        29    502095673 
52         0          111011110110101011111001101111                                                                       30    1004191343
53         0          11101111011010101111100100101011111                                                                  35    32134121823
54         0          1110111101101010111110011100010111                                                                   34    16067061527
55         0          11101111011010101111100100101011110110010                                                            41    2056583796658
56         0          11101111011010101111100100101011110110011                                                            41    2056583796659
57         0          111011110110101011111001110001110100111                                                              39    514145969063
58         52         0001001100                                                                                           10    76        
59         57         0001001101                                                                                           10    77        
60         0          11101111011010101111100111000111011110001                                                            41    2056583876337
61         0          1110111101101010111110011100011101001001                                                             40    1028291938121
62         0          1110111101101010111110011100011101111011111101                                                       46    65810684043005
63         33         10000000010                                                                                          11    1026      
64         0          1110111101101010110                                                                                  19    490326    
65         171        111000100                                                                                            9     452       
66         34         10000000100                                                                                          11    1028      
67         30         01010110001                                                                                          11    689       
68         41         10100101101                                                                                          11    1325      
69         117        001011010                                                                                            9     90        
70         31         10000000000                                                                                          11    1024      
71         26         111011110111                                                                                         12    3831      
72         103        000010101                                                                                            9     21        
73         147        101001010                                                                                            9     330       
74         0          11101111011010101111111                                                                              23    7845247   
75         8          0101011000011                                                                                        13    2755      
76         110        000111110                                                                                            9     62        
77         71         1000000011                                                                                           10    515       
78         51         0000101001                                                                                           10    41        
79         110        000100111                                                                                            9     39        
80         17         101001011000                                                                                         12    2648      
81         4          10100101100100                                                                                       14    10596     
82         77         1010010111                                                                                           10    663       
83         61         0101011001                                                                                           10    345       
84         165        110001110                                                                                            9     398       
85         49         0000101000                                                                                           10    40        
86         7          0101011000001                                                                                        13    2753      
87         36         10000000101                                                                                          11    1029      
88         0          1110111101101010111110011111                                                                         28    251047839 
89         11         1110111101100                                                                                        13    7660      
90         0          111011110110101011111000011                                                                          27    125523907 
91         2          1110111101101011                                                                                     16    61291     
92         0          1110111101101010111110011101                                                                         28    251047837 
93         2          111011110110100                                                                                      15    30644     
94         16         100000000110                                                                                         12    2054      
95         7          0101011000000                                                                                        13    2752      
96         0          1110111101101010111110010001                                                                         28    251047825 
97         893        001001                                                                                               6     9         
98         154        101011010                                                                                            9     346       
99         219        00011010                                                                                             8     26        
100        498        0101000                                                                                              7     40        
101        1415       111001                                                                                               6     57        
102        284        10000101                                                                                             8     133       
103        208        00001011                                                                                             8     11        
104        759        1110101                                                                                              7     117       
105        772        1111001                                                                                              7     121       
106        11         1010010110011                                                                                        13    5299      
107        115        000111111                                                                                            9     63        
108        533        0111011                                                                                              7     59        
109        355        11100011                                                                                             8     227       
110        794        1111011                                                                                              7     123       
111        1090       011111                                                                                               6     31        
112        165        101011011                                                                                            9     347       
113        7          11101111011011                                                                                       14    15323     
114        778        1111010                                                                                              7     122       
115        762        1110110                                                                                              7     118       
116        1177       101000                                                                                               6     40        
117        431        0001000                                                                                              7     8         
118        118        001011011                                                                                            9     91        
119        274        10000100                                                                                             8     132       
120        17         100000000111                                                                                         12    2055      
121        320        10110110                                                                                             8     182       
122        3          01010110000100                                                                                       14    5508      
123        0          111011110110101011111001110001110101111010                                                           42    4113167752570
124        0          1110111101101010111110011100011101111011110                                                          43    8226335505374
125        0          111011110110101011111001110001110101111011011                                                        45    32905342020571
126        0          1110111101101010111110011100011101111011111110                                                       46    65810684043006
127        0          111011110110101000                                                                                   18    245160    
128        1598       111111                                                                                               6     63        
129        566        1000100                                                                                              7     68        
130        737        1110100                                                                                              7     116       
131        311        10101100                                                                                             8     172       
132        1149       100101                                                                                               6     37        
133        390        0000100                                                                                              7     4         
134        503        0101010                                                                                              7     42        
135        445        0010000                                                                                              7     16        
136        622        1010101                                                                                              7     85        
137        633        1010111                                                                                              7     87        
138        437        0001100                                                                                              7     12        
139        470        0010111                                                                                              7     23        
140        1610       00000                                                                                                5     0         
141        646        1100010                                                                                              7     98        
142        587        1001111                                                                                              7     79        
143        559        1000011                                                                                              7     67        
144        637        1011000                                                                                              7     88        
145        539        0111100                                                                                              7     60        
146        169        110001111                                                                                            9     399       
147        294        10100100                                                                                             8     164       
148        325        10110111                                                                                             8     183       
149        220        00011110                                                                                             8     30        
150        286        10001011                                                                                             8     139       
151        499        0101001                                                                                              7     41        
152        529        0111010                                                                                              7     58        
153        340        11011011                                                                                             8     219       
154        1045       011100                                                                                               6     28        
155        383        11110000                                                                                             8     240       
156        874        000101                                                                                               6     5         
157        637        1011001                                                                                              7     89        
158        178        111000101                                                                                            9     453       
159        426        0000111                                                                                              7     7         
160        386        11110001                                                                                             8     241       
161        292        10011100                                                                                             8     156       
162        200        111011111                                                                                            9     479       
163        308        10101001                                                                                             8     169       
164        439        0001110                                                                                              7     14        
165        491        0011001                                                                                              7     25        
166        337        11011010                                                                                             8     218       
167        539        0111101                                                                                              7     61        
168        381        11101110                                                                                             8     238       
169        212        00010010                                                                                             8     18        
170        212        00001101                                                                                             8     13        
171        285        10001010                                                                                             8     138       
172        273        10000001                                                                                             8     129       
173        330        11000110                                                                                             8     198       
174        450        0010100                                                                                              7     20        
175        597        1010011                                                                                              7     83        
176        691        1110000                                                                                              7     112       
177        259        01010111                                                                                             8     87        
178        226        00101100                                                                                             8     44        
179        305        10101000                                                                                             8     168       
180        446        0010001                                                                                              7     17        
181        208        00001100                                                                                             8     12        
182        456        0010101                                                                                              7     21        
183        294        10011101                                                                                             8     157       
184        1290       110000                                                                                               6     48        
185        670        1101100                                                                                              7     108       
186        1171       100110                                                                                               6     38        
187        558        1000001                                                                                              7     65        
188        1953       00111                                                                                                5     7         
189        639        1011010                                                                                              7     90        
190        343        11011111                                                                                             8     223       
191        679        1101110                                                                                              7     110       
192        0          11101111011010101111100000110                                                                        29    502095622 
193        0          11101111011010101111100000100                                                                        29    502095620 
194        0          11101111011010101111100110110                                                                        29    502095670 
195        0          11101111011010101111100100100                                                                        29    502095652 
196        0          111011110110101011111001110000                                                                       30    1004191344
197        0          1110111101101010111110001011                                                                         28    251047819 
198        0          111011110110101011111001001010110                                                                    33    8033530454
199        0          1110111101101010111110001001                                                                         28    251047817 
200        0          1110111101101010111110000010111                                                                      31    2008382487
201        0          1110111101101010111110001000                                                                         28    251047816 
202        0          1110111101101010111110010010101110                                                                   34    16067060910
203        0          1110111101101010111110000001                                                                         28    251047809 
204        0          11101111011010101111100111000100                                                                     32    4016765380
205        0          1110111101101010111110000000                                                                         28    251047808 
206        0          111011110110101011111001110001111                                                                    33    8033530767
207        0          111011110110101011111001111000                                                                       30    1004191352
208        0          111011110110101011111001110001010                                                                    33    8033530762
209        0          1110111101101010111110010010100                                                                      31    2008382612
210        0          111011110110101011111001001010111100                                                                 36    64268243644
211        0          11101111011010101111100100101010                                                                     32    4016765226
212        0          1110111101101010111110010010101111010                                                                37    128536487290
213        0          111011110110101011111000001010                                                                       30    1004191242
214        0          11101111011010101111100100101011110111                                                               38    257072974583
215        0          11101111011010101111100111000110                                                                     32    4016765382
216        0          111011110110101011111001110001110110                                                                 36    64268246134
217        0          11101111011010101111100000101100                                                                     32    4016764972
218        0          111011110110101011111001001010111101101                                                              39    514145949165
219        0          111011110110101011111000001011010                                                                    33    8033529946
220        0          1110111101101010111110011100011101110                                                                37    128536492270
221        0          1110111101101010111110011100011100                                                                   34    16067061532
222        0          1110111101101010111110011100011101000                                                                37    128536492264
223        0          11101111011010101111100111000111011111                                                               38    257072984543
224        0          1110111101101010111110011100011101010                                                                37    128536492266
225        0          1110111101101010111110010010101111011000                                                             40    1028291898328
226        474        0011000                                                                                              7     24        
227        219        00011011                                                                                             8     27        
228        2623       11001                                                                                                5     25        
229        4103       0110                                                                                                 4     6         
230        2675       11010                                                                                                5     26        
231        2591       10111                                                                                                5     23        
232        2042       01011                                                                                                5     11        
233        968        001101                                                                                               6     13        
234        0          111011110110101011111001110001110101110                                                              39    514145969070
235        0          111011110110101011111001110001110101101                                                              39    514145969069
236        0          111011110110101011111001110001110100110                                                              39    514145969062
237        0          1110111101101010111110011100011101111010                                                             40    1028291938170
238        0          1110111101101010111110011100011101001010                                                             40    1028291938122
239        1587       111110                                                                                               6     62        
240        0          1110111101101010111110011100011101111001                                                             40    1028291938169
241        0          11101111011010101111100111000111011110110                                                            41    2056583876342
242        0          11101111011010101111100111000111010010110                                                            41    2056583876246
243        0          11101111011010101111100111000111010111100                                                            41    2056583876284
244        0          1110111101101010111110011100011101011110111                                                          43    8226335505143
245        0          111011110110101011111001110001110111101110                                                           42    4113167752686
246        0          111011110110101011111001110001110100101110                                                           42    4113167752494
247        0          11101111011010101111100111000111011110111110                                                         44    16452671010750
248        0          11101111011010101111100111000111010010000                                                            41    2056583876240
249        0          11101111011010101111100111000111010111101100                                                         44    16452671010284
250        0          1110111101101010111110011100011101001011110                                                          43    8226335504990
251        0          111011110110101011111001110001110100100010                                                           42    4113167752482
252        0          111011110110101011111001110001110100100011                                                           42    4113167752483
253        0          11101111011010101111100111000111010010111110                                                         44    16452671009982
254        0          1110111101101010111110011100011101111011111111                                                       46    65810684043007
255        0          111011110110101010                                                                                   18    245162    
