原码       频率       哈夫曼编码                                                                                           长度  十进制    
0          0          111011110110101011111001110001110100101111110                                                        45    32905342019966
1          0          1110111101101010111110010011                                                                         28    251047827 
2          0          111011110110101011111001110001110100101111111                                                        45    32905342019967
3          0          1110111101101010111111010                                                                            25    31380986  
4          0          111011110110101011111001111010                                                                       30    1004191354
5          0          1110111101101010111110000010110110                                                                   34    16067059894
6          0          1110111101101010111110011100011101011110110100                                                       46    65810684041140
7          0          111011110110101001110                                                                                21    1961294   
8          0          1110111101101010111111011                                                                            25    31380987  
9          0          111011110110101011111001010                                                                          27    125523914 
10         1139       100100                                                                                               6     36        
11         0          111011110110101011111001111001                                                                       30    1004191353
12         0          1110111101101010111110000010110111                                                                   34    16067059895
13         1139       100011                                                                                               6     35        
14         0          1110111101101010111110011100011101011110110101                                                       46    65810684041141
15         0          11101111011010101110                                                                                 20    980654    
16         0          111011110110101011110                                                                                21    1961310   
17         0          11101111011010100111101                                                                              23    7845181   
18         0          111011110110101001111000                                                                             24    15690360  
19         0          11101111011010101111100011                                                                           26    62761955  
20         0          111011110110101011111001011                                                                          27    125523915 
21         0          111011110110101011111001111011                                                                       30    1004191355
22         0          1110111101101010111110011010                                                                         28    251047834 
23         0          111011110110101011111000001111                                                                       30    1004191247
24         0          1110111101101010111110000011100                                                                      31    2008382492
25         0          111011110110101011111001101110                                                                       30    1004191342
26         0          1110111101101010111110011100010110                                                                   34    16067061526
27         0          1110111101101010111110011100011101011111                                                             40    1028291938143
28         0          111011110110101011111001110001110101100                                                              39    514145969068
29         0          11101111011010101111100111000111011110000                                                            41    2056583876336
30         0          1110111101101010111110011100011101111011111100                                                       46    65810684043004
31         0          1110111101101010010                                                                                  19    490322    
32         3897       0100                                                                                                 4     4         
33         31         10000000001                                                                                          11    1025      
34         0          11101111011010100110                                                                                 20    980646    
35         0          1110111101101010011111                                                                               22    3922591   
36         0          11101111011010101111101                                                                              23    7845245   
37         0          111011110110101011111100                                                                             24    15690492  
38         0          111011110110101001111001                                                                             24    15690361  
39         90         1110111100                                                                                           10    956       
