原码       频率       哈夫曼编码                                                                                           长度  十进制    
143        381        1011110                                                                                              7     94        
144        434        1110010                                                                                              7     114       
145        331        0111111                                                                                              7     63        
146        71         010011101                                                                                            9     157       
147        176        10100111                                                                                             8     167       
148        236        11111111                                                                                             8     255       
149        156        01101110                                                                                             8     110       
150        295        0101001                                                                                              7     41        
151        400        1100011                                                                                              7     99        
152        358        1010101                                                                                              7     85        
153        218        11011111                                                                                             8     223       
154        757        101101                                                                                               6     45        
155        274        0100100                                                                                              7     36        
156        595        010101                                                                                               6     21        
157        405        1100110                                                                                              7     102       
158        121        00011001                                                                                             8     25        
159        321        0111101                                                                                              7     61        
160        169        10001110                                                                                             8     142       
161        185        10110010                                                                                             8     178       
162        130        00110001                                                                                             8     49        
163        174        10100100                                                                                             8     164       
164        299        0101101                                                                                              7     45        
165        338        1000110                                                                                              7     70        
166        237        0001000                                                                                              7     8         
167        378        1011100                                                                                              7     92        
168        224        11111010                                                                                             8     250       
169        138        00111111                                                                                             8     63        
170        176        10100110                                                                                             8     166       
171        182        10101001                                                                                             8     169       
172        172        10001111                                                                                             8     143       
173        244        0001110                                                                                              7     14        
174        333        1000100                                                                                              7     68        
175        425        1100111                                                                                              7     103       
176        445        1110011                                                                                              7     115       
177        157        01101111                                                                                             8     111       
178        176        10101000                                                                                             8     168       
179        193        10111110                                                                                             8     190       
180        307        0101110                                                                                              7     46        
181        156        01101101                                                                                             8     109       
182        309        0101111                                                                                              7     47        
183        193        10111111                                                                                             8     191       
184        843        110110                                                                                               6     54        
185        521        001101                                                                                               6     13        
186        787        110000                                                                                               6     48        
187        381        1011101                                                                                              7     93        
188        1280       01110                                                                                                5     14        
189        366        1011000                                                                                              7     88        
190        270        0011101                                                                                              7     29        
191        453        1111110                                                                                              7     126       
192        0          0011000000000001111100111100                                                                         28    50339644  
193        0          001100000000000111110011111101                                                                       30    201358589 
194        0          0011000000000001111100111111101                                                                      31    402717181 
195        0          001100000000000111110001000                                                                          27    25169800  
196        0          00110000000000011111001111011010                                                                     32    805434330 
197        0          00110000000000011111001111010                                                                        29    100679290 
198        0          0011000000000001111100111111000                                                                      31    402717176 
199        0          0011000000000001111100111011                                                                         28    50339643  
200        0          001100000000000111110011110110011                                                                    33    1610868659
201        0          0011000000000001111100111010                                                                         28    50339642  
202        0          00110000000000011111001111110010                                                                     32    805434354 
203        0          00110000000000011111001001100111                                                                     32    805433959 
204        0          0011000000000001111100111101101100                                                                   34    3221737324
205        0          00110000000000011111001001100110                                                                     32    805433958 
206        0          0011000000000001111100111111100110                                                                   34    3221737446
207        0          00110000000000011111001111011000                                                                     32    805434328 
208        0          00110000000000011111001111011001011                                                                  35    6443474635
209        0          00110000000000011111001111111000                                                                     32    805434360 
210        0          00110000000000011111001111111001110                                                                  35    6443474894
211        0          001100000000000111110011111110010                                                                    33    1610868722
212        0          001100000000000111110011110110110100                                                                 36    12886949300
213        0          0011000000000001111100111101100100                                                                   34    3221737316
214        0          0011000000000001111100111101101101111                                                                37    25773898607
215        0          001100000000000111110011110110110110                                                                 36    12886949302
216        0          0011000000000001111100111101101101010                                                                37    25773898602
217        0          001100000000000111110011110110010100                                                                 36    12886949268
218        0          0011000000000001111100111111100111100                                                                37    25773899580
219        0          0011000000000001111100111101100101010                                                                37    25773898538
220        0          00110000000000011111001111111001111010                                                               38    51547799162
221        0          00110000000000011111001111011011011100                                                               38    51547797212
222        0          001100000000000111110011111110011110111                                                              39    103095598327
223        0          0011000000000001111100111111100111101100                                                             40    206191196652
224        0          0011000000000001111100111101101101110101                                                             40    206191188853
225        0          0011000000000001111100111111100111101101                                                             40    206191196653
226        272        0011110                                                                                              7     30        
227        121        00011000                                                                                             8     24        
228        1762       11101                                                                                                5     29        
229        2807       1001                                                                                                 4     9         
230        1844       0000                                                                                                 4     0         
231        1779       11110                                                                                                5     30        
232        1329       10000                                                                                                5     16        
233        618        011000                                                                                               6     24        
234        0          001100000000000111110011110110110111011101                                                           42    824764755421
235        0          0011000000000001111100111101101101110111111                                                          43    1649529510847
236        0          001100000000000111110011110110110111011010                                                           42    824764755418
237        0          001100000000000111110011110110110111011000                                                           42    824764755416
238        0          0011000000000001111100111101101101110110010                                                          43    1649529510834
239        1029       00101                                                                                                5     5         
240        0          00110000000000011111001111011011011101101110                                                         44    3299059021678
241        0          00110000000000011111001111011011011101101111                                                         44    3299059021679
242        0          00110000000000011111001111011011011101100110                                                         44    3299059021670
243        0          001100000000000111110011110110110111011110001                                                        45    6598118043377
244        0          00110000000000011111001111011011011101101100                                                         44    3299059021676
245        0          001100000000000111110011110110110111011110010                                                        45    6598118043378
246        0          001100000000000111110011110110110111011001110                                                        45    6598118043342
247        0          0011000000000001111100111101101101110111100110                                                       46    13196236086758
248        0          0011000000000001111100111101101101110110110110                                                       46    13196236086710
249        0          0011000000000001111100111101101101110110110100                                                       46    13196236086708
250        0          00110000000000011111001111011011011101111001111                                                      47    26392472173519
251        0          00110000000000011111001111011011011101101101011                                                      47    26392472173419
252        0          00110000000000011111001111011011011101101101110                                                      47    26392472173422
253        0          00110000000000011111001111011011011101100111100                                                      47    26392472173372
254        0          001100000000000111110011110110110111011110011101                                                     48    52784944347037
255        0          00110000000000010                                                                                    17    24578     
