原码       频率       哈夫曼编码                                                                                           长度  十进制    
0          0          1110110100010010011111000111001110100101111110                                                       46    65165913287038
1          0          11101101000100100011110101100                                                                        29    497174444 
2          0          1110110100010010011111000111001110100101111111                                                       46    65165913287039
3          0          1110110100010010001111011                                                                            25    31073403  
4          0          11101101000100100011110101101                                                                        29    497174445 
5          0          11101101000100100111110001101110110                                                                  35    31819293558
6          0          11101101000100100111110001110011101011110110100                                                      47    130331826575284
7          0          1110110100010010001110                                                                               22    3884174   
8          0          1110110100010010011111001                                                                            25    31073529  
9          0          1110110100010010011111000100                                                                         28    248588228 
10         2334       101000                                                                                               6     40        
11         0          11101101000100100011110100011                                                                        29    497174435 
12         0          11101101000100100111110001101110111                                                                  35    31819293559
13         2334       101001                                                                                               6     41        
14         0          11101101000100100111110001110011101011110110101                                                      47    130331826575285
15         0          111011010001001001110                                                                                21    1942094   
16         0          1110110100010010011110                                                                               22    3884190   
17         0          111011010001001001111101                                                                             24    15536765  
18         0          1110110100010010011111100                                                                            25    31073532  
19         0          111011010001001001111100001                                                                          27    124294113 
20         0          1110110100010010011111000101                                                                         28    248588229 
21         0          111011010001001000111101011110                                                                       30    994348894 
22         0          111011010001001000111101011111                                                                       30    994348895 
23         0          11101101000100100011110101001                                                                        29    497174441 
24         0          111011010001001000111101010000                                                                       30    994348880 
25         0          1110110100010010011111000110010                                                                      31    1988705842
26         0          11101101000100100111110001110010110                                                                  35    31819293590
27         0          11101101000100100111110001110011101011111                                                            41    2036434790239
28         0          1110110100010010011111000111001110101100                                                             40    1018217395116
29         0          111011010001001001111100011100111011110000                                                           42    4072869580528
30         0          11101101000100100111110001110011101111011111100                                                      47    130331826577148
31         0          11101101000100100010                                                                                 20    971042    
32         8052       0110                                                                                                 4     6         
33         60         00111110101                                                                                          11    501       
34         0          111011010001001000110                                                                                21    1942086   
35         0          11101101000100100011111                                                                              23    7768351   
36         0          111011010001001001111111                                                                             24    15536767  
37         0          111011010001001000111100                                                                             24    15536700  
38         0          1110110100010010011111101                                                                            25    31073533  
39         198        000100000                                                                                            9     32        
40         7          00111110100010                                                                                       14    4002      
41         7          00111110100011                                                                                       14    4003      
42         3          1110110100010011                                                                                     16    60691     
43         0          1110110100010010001111010010                                                                         28    248587218 
44         666        11011000                                                                                             8     216       
45         92         11101101001                                                                                          11    1897      
46         252        011100000                                                                                            9     224       
47         0          11101101000100100111110000010                                                                        29    497176450 
48         0          11101101000100100011110101010                                                                        29    497174442 
49         0          11101101000100100111110001111111                                                                     32    3977411711
50         0          111011010001001000111101010001                                                                       30    994348881 
51         0          111011010001001001111100011101                                                                       30    994352925 
52         0          1110110100010010011111000110011                                                                      31    1988705843
53         0          1110110100010010011111000111111011111                                                                37    127277174751
54         0          11101101000100100111110001110010111                                                                  35    31819293591
55         0          1110110100010010011111000111111011110110010                                                          43    8145739184050
56         0          1110110100010010011111000111111011110110011                                                          43    8145739184051
57         0          1110110100010010011111000111001110100111                                                             40    1018217395111
58         109        0001001111                                                                                           10    79        
59         117        0011111001                                                                                           10    249       
60         0          111011010001001001111100011100111011110001                                                           42    4072869580529
61         0          11101101000100100111110001110011101001001                                                            41    2036434790217
62         0          11101101000100100111110001110011101111011111101                                                      47    130331826577149
63         96         11101101011                                                                                          11    1899      
64         0          11101101000100100110                                                                                 20    971046    
65         265        011110110                                                                                            9     246       
66         31         001111101001                                                                                         12    1001      
67         64         01110000101                                                                                          11    901       
68         86         11000111101                                                                                          11    1597      
69         267        100000110                                                                                            9     262       
70         40         111011010000                                                                                         12    3792      
71         76         10101111001                                                                                          11    1401      
72         169        1100011111                                                                                           10    799       
73         280        100000111                                                                                            9     263       
74         5          111011010001000                                                                                      15    30344     
75         20         1100011110011                                                                                        13    6387      
76         226        001000011                                                                                            9     67        
77         124        0011111011                                                                                           10    251       
78         208        000100110                                                                                            9     38        
79         217        001000010                                                                                            9     66        
80         114        0011111000                                                                                           10    248       
81         15         0111000010000                                                                                        13    3600      
82         149        1010111101                                                                                           10    701       
83         132        0111000011                                                                                           10    451       
84         285        100011110                                                                                            9     286       
85         103        0001001110                                                                                           10    78        
86         2          11101101000100101                                                                                    17    121381    
87         94         11101101010                                                                                          11    1898      
88         0          1110110100010010011111000000                                                                         28    248588224 
89         16         0111000010001                                                                                        13    3601      
90         37         101011110001                                                                                         12    2801      
91         7          00111110100001                                                                                       14    4001      
92         0          1110110100010010001111010000                                                                         28    248587216 
93         7          00111110100000                                                                                       14    4000      
94         38         110001111000                                                                                         12    3192      
95         19         1100011110010                                                                                        13    6386      
96         0          11101101000100100111110000011                                                                        29    497176451 
97         1876       001100                                                                                               6     12        
98         326        110000011                                                                                            9     387       
99         538        01111101                                                                                             8     125       
100        983        0101101                                                                                              7     45        
101        3164       111110                                                                                               6     62        
102        546        10000010                                                                                             8     130       
103        390        00000010                                                                                             8     2         
104        1651       000011                                                                                               6     3         
105        1453       1110100                                                                                              7     116       
106        26         1110110100011                                                                                        13    7587      
107        207        000100001                                                                                            9     33        
108        1184       1010100                                                                                              7     84        
109        778        0000000                                                                                              7     0         
110        1615       000001                                                                                               6     1         
