原码       频率       哈夫曼编码                                                                                           长度  十进制    
111        2230       100010                                                                                               6     34        
112        389        111011011                                                                                            9     475       
113        32         011100001001                                                                                         12    1801      
114        1550       1111011                                                                                              7     123       
115        1646       000010                                                                                               6     2         
116        2247       100101                                                                                               6     37        
117        863        0001110                                                                                              7     14        
118        267        011110111                                                                                            9     247       
119        540        10000001                                                                                             8     129       
120        36         101011110000                                                                                         12    2800      
121        726        11101010                                                                                             8     234       
122        11         11101101000101                                                                                       14    15173     
123        0          1110110100010010011111000111001110101111010                                                          43    8145739160954
124        0          11101101000100100111110001110011101111011110                                                         44    16291478322142
125        0          1110110100010010011111000111001110101111011011                                                       46    65165913287643
126        0          11101101000100100111110001110011101111011111110                                                      47    130331826577150
127        0          1110110100010010000                                                                                  19    485520    
128        3032       111100                                                                                               6     60        
129        1096       1000010                                                                                              7     66        
130        1518       1110111                                                                                              7     119       
131        585        10101010                                                                                             8     170       
132        2247       100110                                                                                               6     38        
133        701        11011110                                                                                             8     222       
134        1048       0111100                                                                                              7     60        
135        980        0101100                                                                                              7     44        
136        1099       1000011                                                                                              7     67        
137        1394       1101110                                                                                              7     110       
138        937        0011010                                                                                              7     26        
139        933        0010011                                                                                              7     19        
140        3165       111111                                                                                               6     63        
141        1375       1101101                                                                                              7     109       
142        1215       1010110                                                                                              7     86        
143        1028       0111001                                                                                              7     57        
144        1279       1100001                                                                                              7     97        
145        844        0001010                                                                                              7     10        
146        295        100011111                                                                                            9     287       
147        621        11000000                                                                                             8     192       
148        549        10001110                                                                                             8     142       
149        399        00000011                                                                                             8     3         
150        706        11011111                                                                                             8     223       
151        1072       0111111                                                                                              7     63        
152        918        0010010                                                                                              7     18        
153        666        11011001                                                                                             8     217       
154        2070       011101                                                                                               6     29        
155        874        0001111                                                                                              7     15        
156        1726       000110                                                                                               6     6         
157        1234       1011000                                                                                              7     88        
158        324        110000010                                                                                            9     386       
159        762        11110100                                                                                             8     244       
160        609        10101110                                                                                             8     174       
161        534        01111100                                                                                             8     124       
162        331        110001110                                                                                            9     398       
163        526        01111010                                                                                             8     122       
164        729        11101011                                                                                             8     235       
165        1016       0101111                                                                                              7     47        
166        602        10101011                                                                                             8     171       
167        997        0101110                                                                                              7     46        
168        715        11100010                                                                                             8     226       
169        318        101011111                                                                                            9     351       
170        470        00111101                                                                                             8     61        
171        478        00111111                                                                                             8     63        
172        539        10000000                                                                                             8     128       
173        767        11110101                                                                                             8     245       
174        939        0011011                                                                                              7     27        
175        1159       1001111                                                                                              7     79        
176        1308       1100010                                                                                              7     98        
177        437        00100000                                                                                             8     32        
178        470        00111100                                                                                             8     60        
179        414        00010010                                                                                             8     18        
180        853        0001011                                                                                              7     11        
181        413        00010001                                                                                             8     17        
182        887        0010001                                                                                              7     17        
183        663        11000110                                                                                             8     198       
184        2545       101101                                                                                               6     45        
185        1264       1011001                                                                                              7     89        
186        2236       100100                                                                                               6     36        
187        1152       1001110                                                                                              7     78        
188        3667       00101                                                                                                5     5         
189        1103       1000110                                                                                              7     70        
190        718        11100011                                                                                             8     227       
191        1427       1110000                                                                                              7     112       
192        0          111011010001001001111100011110                                                                       30    994352926 
193        0          111011010001001001111100011010                                                                       30    994352922 
194        0          111011010001001001111100011000                                                                       30    994352920 
195        0          1110110100010010011111000111110                                                                      31    1988705854
196        0          1110110100010010011111000111000                                                                      31    1988705848
197        0          11101101000100100011110101011                                                                        29    497174443 
198        0          11101101000100100111110001111110110                                                                  35    31819293686
199        0          11101101000100100011110100111                                                                        29    497174439 
200        0          11101101000100100111110001101111                                                                     32    3977411695
201        0          11101101000100100011110100110                                                                        29    497174438 
202        0          111011010001001001111100011111101110                                                                 36    63638587374
203        0          111011010001001000111101011101                                                                       30    994348893 
204        0          111011010001001001111100011100100                                                                    33    7954823396
205        0          111011010001001000111101011100                                                                       30    994348892 
206        0          1110110100010010011111000111001111                                                                   34    15909646799
207        0          11101101000100100011110100010                                                                        29    497174434 
208        0          1110110100010010011111000111001010                                                                   34    15909646794
209        0          111011010001001001111100011111100                                                                    33    7954823420
210        0          11101101000100100111110001111110111100                                                               38    254554349500
211        0          1110110100010010011111000111111010                                                                   34    15909646842
212        0          111011010001001001111100011111101111010                                                              39    509108699002
213        0          1110110100010010011111000110110                                                                      31    1988705846
214        0          1110110100010010011111000111111011110111                                                             40    1018217398007
215        0          111011010001001001111100011100110                                                                    33    7954823398
216        0          1110110100010010011111000111001110110                                                                37    127277174390
217        0          111011010001001001111100011011100                                                                    33    7954823388
218        0          11101101000100100111110001111110111101101                                                            41    2036434796013
219        0          1110110100010010011111000110111010                                                                   34    15909646778
220        0          11101101000100100111110001110011101110                                                               38    254554348782
221        0          11101101000100100111110001110011100                                                                  35    31819293596
222        0          11101101000100100111110001110011101000                                                               38    254554348776
223        0          111011010001001001111100011100111011111                                                              39    509108697567
224        0          11101101000100100111110001110011101010                                                               38    254554348778
225        0          111011010001001001111100011111101111011000                                                           42    4072869592024
226        755        11101100                                                                                             8     236       
227        514        01110001                                                                                             8     113       
228        5082       10111                                                                                                5     23        
229        7882       0100                                                                                                 4     4         
230        5322       11010                                                                                                5     26        
231        5239       11001                                                                                                5     25        
232        3910       01010                                                                                                5     10        
233        1885       001110                                                                                               6     14        
234        0          1110110100010010011111000111001110101110                                                             40    1018217395118
235        0          1110110100010010011111000111001110101101                                                             40    1018217395117
236        0          1110110100010010011111000111001110100110                                                             40    1018217395110
237        0          11101101000100100111110001110011101111010                                                            41    2036434790266
238        0          11101101000100100111110001110011101001010                                                            41    2036434790218
239        2900       111001                                                                                               6     57        
240        0          11101101000100100111110001110011101111001                                                            41    2036434790265
241        0          111011010001001001111100011100111011110110                                                           42    4072869580534
242        0          111011010001001001111100011100111010010110                                                           42    4072869580438
243        0          111011010001001001111100011100111010111100                                                           42    4072869580476
244        0          11101101000100100111110001110011101011110111                                                         44    16291478321911
245        0          1110110100010010011111000111001110111101110                                                          43    8145739161070
246        0          1110110100010010011111000111001110100101110                                                          43    8145739160878
247        0          111011010001001001111100011100111011110111110                                                        45    32582956644286
248        0          111011010001001001111100011100111010010000                                                           42    4072869580432
249        0          111011010001001001111100011100111010111101100                                                        45    32582956643820
250        0          11101101000100100111110001110011101001011110                                                         44    16291478321758
251        0          1110110100010010011111000111001110100100010                                                          43    8145739160866
252        0          1110110100010010011111000111001110100100011                                                          43    8145739160867
253        0          111011010001001001111100011100111010010111110                                                        45    32582956643518
254        0          11101101000100100111110001110011101111011111111                                                      47    130331826577151
255        0          1110110100010010010                                                                                  19    485522    
